product,name,description,flowerydescription,availability,sku,price
pearl-bracelets-paradis-bracelet-yellow-gold,Paradis Bracelet - Yellow Gold,"Paspaley bracelet featuring three, 10mm round pearls set in 18kt yellow gold, with 33 white diamonds (0.34ct).","Featuring three luminous Paspaley pearls, this beautiful bracelet is the perfect day to evening design.

    	
		Paspaley bracelet featuring three, 10mm round pearls set in 18kt yellow gold, with 33 white diamonds (0.34ct).",In stock,SKU    J07B01YPR10,"AUD 7,480.00"
pearl-bracelets-rockpool-tanzanite-bracelet-platinum,Rockpool Tanzanite Bracelet - Platinum,"Paspaley Australian South Sea pearl  bracelet in platinum with 28, 4- 8mm Keshi Baroque pearls, four tanzanites (15.46ct), 602 white diamonds (6.83ct) and 50 amethysts (1.20ct).","This one-of-a-kind design combines exceptionally rare cultured pearls from Paspaley's collection with deep blue tanzanite and sparkling diamonds.

    	
		Paspaley Australian South Sea pearl  bracelet in platinum with 28, 4- 8mm Keshi Baroque pearls, four tanzanites (15.46ct), 602 white diamonds (6.83ct) and 50 amethysts (1.20ct).",Out of stock,SKU    X17B12PKQ08,"AUD 128,000.00"
pearl-bracelets-touchstone-black-diamond-bracelet-white-gold,Touchstone Black Diamond Bracelet - White Gold,"Paspaley bracelet featuring five, 11mm oval pearls set in 18kt white gold, with 100 black diamonds (0.80ct) and 12 white diamonds (0.03ct).","The perfect gift for yourself or someone special, the Touchstone black diamond bracelet features a stunning contrast between smooth Paspaley pearls and inverted black diamonds.

    	
		Paspaley bracelet featuring five, 11mm oval pearls set in 18kt white gold, with 100 black diamonds (0.80ct) and 12 white diamonds (0.03ct).",In stock,SKU    V16B02WPO11,"AUD 9,680.00"
pearl-bracelets-touchstone-ruby-bracelet-yellow-gold,Touchstone Ruby Bracelet - Yellow Gold,"Paspaley bracelet featuring five, 12mm button pearls set in 18kt yellow gold, with 100 rubies (1.00ct) and 12 white diamonds (0.02ct).","This bracelet features luminous Paspaley pearls surrounded by sparkling rubies. This contemporary design will take you effortlessly from day to night.

    	
		Paspaley bracelet featuring five, 12mm button pearls set in 18kt yellow gold, with 100 rubies (1.00ct) and 12 white diamonds (0.02ct).",In stock,SKU    V14B02YPB12,"AUD 7,280.00"
pearl-clasps-maxima-clasp-white-gold,Maxima Clasp - White Gold,"Paspaley clasp featuring mother-of-pearl set in 18kt white gold, with 102 white diamonds (0.75ct).","The Maxima clasp is the perfect accompaniment to your Paspaley pearl strand, combining iridescent mother-of-pearl and white diamonds.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt white gold, with 102 white diamonds (0.75ct).",In stock,SKU    W15L02W,"AUD 6,980.00"
pearl-clasps-maxima-clasp-yellow-gold,Maxima Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 24 white diamonds (0.36ct).,"The Maxima clasp is the perfect accompaniment to your Paspaley pearl strand, combining iridescent mother-of-pearl and white diamonds.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 24 white diamonds (0.36ct).",In stock,SKU    W15L01Y,"AUD 4,680.00"
pearl-clasps-monsoon-budding-flower-clasp-white-gold,Monsoon Budding Flower Clasp - White Gold,Paspaley Monsoon clasp set in 18kt white gold with 66 white diamonds (0.44ct) and 162 tsavorites (2.61ct).,"Celebrating the energy of The Kimberley’s tropical environment, this clasp incorporates rich green tsavorite gems. Each one features intricately crafted three-dimensional flower buds, to create a new look for your strand.

    	
		Paspaley Monsoon clasp set in 18kt white gold with 66 white diamonds (0.44ct) and 162 tsavorites (2.61ct).",In stock,SKU    Y18L06W,"AUD 14,800.00"
pearl-clasps-monsoon-budding-flower-clasp-yellow-gold,Monsoon Budding Flower Clasp - Yellow Gold,Paspaley Monsoon clasp set in 18kt yellow gold with 66 white diamonds and 164 yellow diamonds (2.95ct).,"Taking inspiration from the wildflowers of northern Australia's wetlands, this clasp showcases the gradual progression of bloom. Each one features intricately crafted three-dimensional flower buds, to create a new look for your strand.

    	
		Paspaley Monsoon clasp set in 18kt yellow gold with 66 white diamonds and 164 yellow diamonds (2.95ct).",Out of stock,SKU    Y18L07Y,"AUD 32,800.00"
pearl-clasps-rockpool-mother-of-pearl-clasp-white-gold,Rockpool Mother-of-Pearl Clasp - White Gold,Paspaley clasp featuring mother-of-pearl set in 18kt white gold with 218 white diamonds (1.34ct). Bracelet sold separately.,"This striking clasp features iridescent mother-of-pearl and pave diamonds. The perfect addition to your Paspaley pearl bracelet or strand.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt white gold with 218 white diamonds (1.34ct). Bracelet sold separately.",In stock,SKU    X17L11W,"AUD 11,800.00"
pearl-clasps-rockpool-mother-of-pearl-clasp-yellow-gold,Rockpool Mother-of-Pearl Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 218 white diamonds (1.34ct). Bracelet sold separately.,"This striking clasp features iridescent mother-of-pearl and pave diamonds. The perfect addition to your Paspaley pearl bracelet or strand.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 218 white diamonds (1.34ct). Bracelet sold separately.",In stock,SKU    X17L11Y,"AUD 11,800.00"
pearl-clasps-rockpool-pave-clasp-white-gold,Rockpool Pave Clasp - White Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt white gold.,"Featuring pave set diamonds, create a unique look for your strand with this clasp. Strand sold separately.

    	
		Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt white gold.",In stock,SKU    X17L10W,"AUD 22,800.00"
pearl-clasps-rockpool-pave-clasp-yellow-gold,Rockpool Pave Clasp - Yellow Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt yellow gold.,"Featuring pave set diamonds, create a unique look for your strand with this clasp. Strand sold separately.

    	
		Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt yellow gold.",In stock,SKU    X17L10Y,"AUD 22,800.00"
pearl-clasps-touchstone-black-diamond-clasp-white-gold,Touchstone Black Diamond Clasp - White Gold,"Paspaley clasp featuring 120 black diamonds (2.40ct) set in 18kt white gold, with 14 white diamonds (0.04ct).","An elegant touch, the Touchstone black diamond clasp features sculptural inverted black diamonds.

    	
		Paspaley clasp featuring 120 black diamonds (2.40ct) set in 18kt white gold, with 14 white diamonds (0.04ct).",In stock,SKU    V16L04W,"AUD 8,680.00"
pearl-earrings-button-pearl-studs-11mm,Button Pearl Studs - 11mm,"Paspaley stud earrings featuring two, 11mm button pearls set in 18kt yellow gold.","The perfect pair. Wear your Paspaley button-shaped pearl studs from day to night.

    	
		Paspaley stud earrings featuring two, 11mm button pearls set in 18kt yellow gold.",In stock,SKU    C00E41YPB11,"AUD 2,580.00"
pearl-earrings-dew-drop-earrings-platinum,Dew Drop Earrings - Platinum,"Paspaley earrings featuring two, 11mm round pearls set in 950 platinum, with four white diamonds (0.40ct).","These drop earrings feature luminous round pearls, playfully floating on a fine chain of platinum.

    	
		Paspaley earrings featuring two, 11mm round pearls set in 950 platinum, with four white diamonds (0.40ct).",In stock,SKU    K08E08PPR11,"AUD 6,980.00"
pearl-earrings-dew-drop-earrings-yellow-gold,Dew Drop Earrings - Yellow Gold,"Paspaley earrings feturing two, 11mm round pearls set in 18kt yellow gold with four white diamonds (0.40ct).","These drop earrings feature luminous round pearls, playfully floating on a fine chain of yellow gold.

    	
		Paspaley earrings feturing two, 11mm round pearls set in 18kt yellow gold with four white diamonds (0.40ct).",In stock,SKU    K08E08YPR11,"AUD 6,880.00"
pearl-earrings-diamond-shepherd-hook-earrings-13mm-round-yellow-gold,Diamond Shepherd Hook Earrings 13mm Round - Yellow Gold,"Paspaley Shepherd Hook earrings featuring two 13mm round pearls set in18kt yellow gold, with 40 white diamonds (0.21ct).","Capturing understated elegance, these earrings feature two stunning round pearls, set with diamonds to enhance the glow of the pearls.

    	
		Paspaley Shepherd Hook earrings featuring two 13mm round pearls set in18kt yellow gold, with 40 white diamonds (0.21ct).",In stock,SKU    C18E43YPR13,"AUD 9,180.00"
pearl-earrings-diamond-shepherd-hook-earrings-round-white-gold,Diamond Shepherd Hook Earrings Round - White Gold,"Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in18kt white gold, with 40 white diamonds (0.21ct).","These beautiful hook earrings feature two round pearls, set with diamonds to further enhance the pearl's lustre.

    	
		Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in18kt white gold, with 40 white diamonds (0.21ct).",In stock,SKU    C18E43WPR10,"AUD 5,480.00"
pearl-earrings-diamond-shepherd-hook-earrings-round-yellow-gold,Diamond Shepherd Hook Earrings Round - Yellow Gold,"Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in 18kt yellow gold, with 40 white diamonds (0.21ct).","These beautiful hook earrings feature two round pearls, set with diamonds to further enhance the pearl's lustre.

    	
		Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in 18kt yellow gold, with 40 white diamonds (0.21ct).",In stock,SKU    C18E43YPR10,"AUD 5,480.00"
pearl-earrings-diamond-touchstone-earrings-12mm-oval-yellow-gold,Diamond Touchstone Earrings 12mm Oval  - Yellow Gold,"Paspaley earrings featuring two, 12mm oval pearls set in 18kt yellow gold, with 70 white diamonds (0.83ct)","Pearls My Way allows you to tailor your look, choose your favourite Paspaley pearls from a range of shapes and sizes then select accompanying earrings hooks. Your pearls, your way.
                                            
                                            
                                                Paspaley earrings featuring two, 12mm oval pearls set in 18kt yellow gold, with 70 white diamonds (0.83ct)",In stock,SKU    DC16E10YPO12,"AUD 8,960.00"
pearl-earrings-diamond-touchstone-earrings-14mm-baroque-white-gold,Diamond Touchstone Earrings 14mm Baroque  - White Gold,"Paspaley earrings featuring two, 14mm baroque pearls set in 18kt white gold with, 60 white diamonds (0.93ct)","Pearls My Way allows you to tailor your look, choose your favourite Paspaley pearls from a range of shapes and sizes then select accompanying earrings hooks. Your pearls, your way.

    	
		Paspaley earrings featuring two, 14mm baroque pearls set in 18kt white gold with, 60 white diamonds (0.93ct)",In stock,SKU    DC16E10WPQ14,"AUD 9,960.00"
pearl-earrings-dolce-earrings-white-gold,Dolce Earrings - White Gold,"Paspaley earrings featuring two, 13mm round pearls set in 18kt white gold.","The minimalist design of these earrings perfectly showcase the beautiful round pearls.

    	
		Paspaley earrings featuring two, 13mm round pearls set in 18kt white gold.",In stock,SKU    G06E09WPR13,"AUD 6,280.00"
pearl-earrings-grace-earrings-white-gold,Grace Earrings - White Gold,"Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt white gold, with two white diamonds (0.20ct).","The Grace earrings feature beautiful round pearls with sparkling diamonds on a simple hook design, crafted from white gold.

    	
		Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt white gold, with two white diamonds (0.20ct).",In stock,SKU    C00E44WPR11,"AUD 5,980.00"
pearl-earrings-grace-earrings-yellow-gold,Grace Earrings - Yellow Gold,"Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt yellow gold, with two white diamonds (0.20ct).","The Grace earrings feature beautiful round pearls with sparkling diamonds on a simple hook design, crafted from yellow gold.

    	
		Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt yellow gold, with two white diamonds (0.20ct).",In stock,SKU    C00E44YPR11,"AUD 5,980.00"
pearl-earrings-keshi-pearl-studs-7mm,Keshi Pearl Studs - 7mm,"Paspaley stud earrings featuring two, 7mm baroque keshi pearls set in 18kt yellow gold.","The perfect pair. Wear your Paspaley keshi pearl studs from day to night.

    	
		Paspaley stud earrings featuring two, 7mm baroque keshi pearls set in 18kt yellow gold.",In stock,SKU    C00E40YKQ07,AUD 980.00
pearl-earrings-keshi-pearl-studs-9mm,Keshi Pearl Studs - 9mm,"Paspaley stud earrings featuring two, 9mm baroque keshi pearls set in 18kt yellow gold.","The perfect pair. Wear your Paspaley keshi pearl studs from day to night.

    	
		Paspaley stud earrings featuring two, 9mm baroque keshi pearls set in 18kt yellow gold.",In stock,SKU    C00E40YKQ09,"AUD 1,680.00"
pearl-earrings-lavalier-earrings-circle-white-gold,Lavalier Earrings Circlé - White Gold,Paspaley earrings featuring two loose 12mm circlé pearls in 18ct white gold.,"These nautically inspired Lavalier earrings feature distinctive Paspaley circlé pearls encased in a white gold mesh net.

    	
		Paspaley earrings featuring two loose 12mm circlé pearls in 18ct white gold.",In stock,SKU    DH14E20WC,"AUD 5,260.00"
pearl-earrings-lavalier-earrings-circle-yellow-gold,Lavalier Earrings Circlé - Yellow Gold,Paspaley earrings featuring two loose 12mm circlé pearls in 18ct yellow gold.,"These nautically inspired Lavalier earrings feature distinctive Paspaley circlé pearls encased in a yellow gold mesh net.

    	
		Paspaley earrings featuring two loose 12mm circlé pearls in 18ct yellow gold.",In stock,SKU    DH14E20YC,"AUD 5,260.00"
