product,name,description,flowerydescription,availability,sku,price
dive-coin-charm-diamond-earrings-yellow-gold,Dive Coin Charm Diamond Earrings - Yellow Gold,"Paspaley Dive Earrings in 18kt Yellow Gold with Mother-of-Pearl and 124 White Diamonds (0.51ct).

Chain sold separately.","The Dive Coin Charm Earrings represent old Dutch guilders discovered by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm features a delicate yellow gold rope detail, with diamonds on the settings, and mother-of-pearl intricately engraved to reflect pearl divers’ stories and the tattoos historically associated with sea explorers.

    	
		Paspaley Dive Earrings in 18kt Yellow Gold with Mother-of-Pearl and 124 White Diamonds (0.51ct).

Chain sold separately.",In stock,SKU    DD21A01E04Y,"AUD 10,260.00"
dive-coin-charm-earrings-white-gold,Dive Coin Charm Earrings - White Gold,Paspaley Dive Earrings in 18kt White Gold with Mother-of-Pearl and 102 White Diamonds (0.38ct).,"The Dive Coin Charm earrings represent old Dutch guilders discovered by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm features a delicate white gold rope detail, with diamonds on the settings, and mother-of-pearl intricately engraved to reflect pearl divers’ stories and the tattoos historically associated with sea explorers.

    	
		Paspaley Dive Earrings in 18kt White Gold with Mother-of-Pearl and 102 White Diamonds (0.38ct).",In stock,SKU    DD21A01E02W,"AUD 9,360.00"
dive-coin-charm-earrings-yellow-gold,Dive Coin Charm Earrings - Yellow Gold,Paspaley Dive Earrings in 18kt Yellow Gold with Mother-of-Pearl and 102 White Diamonds (0.38ct).,"The Dive Coin charm earrings represent old Dutch guilders discovered by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm features a delicate yellow gold rope detail, with diamonds on the settings, and mother-of-pearl intricately engraved to reflect pearl divers’ stories and the tattoos historically associated with sea explorers.

    	
		Paspaley Dive Earrings in 18kt Yellow Gold with Mother-of-Pearl and 102 White Diamonds (0.38ct).",In stock,SKU    DD21A01E02Y,"AUD 9,360.00"
dive-dolphins-coin-charm-white-gold,Dive Dolphins Coin Charm - White Gold,"Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 59 White Diamonds 0.26ct ‘Pattern’ & ‘Dolphins’ - 23mm.

Chain sold separately.","The Dive Coin Charm Pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate white gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Dolphins - This design, influenced by ancient depictions of dolphins gives these wonderful creatures a mythical look.

Ocean Wave - This design has a distinct wave-like pattern that reflects the mandala style of tattoos of Paspaley’s pearl divers.

    	
		Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 59 White Diamonds 0.26ct ‘Pattern’ & ‘Dolphins’ - 23mm.

Chain sold separately.",In stock,SKU    D21A08W,"AUD 5,680.00"
dive-dolphins-coin-charm-yellow-gold,Dive Dolphins Coin Charm - Yellow Gold,"Paspaley Dive Charm Accessory 18kt Yellow Gold with Mother-of-Pearl and 59 White Diamonds 0.26ct ‘Dolphins’ & ‘Pattern’ - 23mm.

Chain sold separately.","The Dive Coin Charm Pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate yellow gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Dolphins - This jewellery engraving design, influenced by ancient depictions of dolphins gives these wonderful creatures a mythical look.

Ocean Wave - This design has a distinct wave-like pattern that reflects the mandala style of tattoos of Paspaley’s pearl divers.

    	
		Paspaley Dive Charm Accessory 18kt Yellow Gold with Mother-of-Pearl and 59 White Diamonds 0.26ct ‘Dolphins’ & ‘Pattern’ - 23mm.

Chain sold separately.",In stock,SKU    D21A03Y,"AUD 5,680.00"
dive-guided-by-stars-coin-charm-small-yellow-gold,Dive Guided by Stars Coin Charm Small - Yellow Gold,"Paspaley Dive Charm Accessory in 18kt Yellow Gold with Mother-of-Pearl and 67 White Diamonds 0.25ct ‘Guided by Stars’ & ‘Octopus’ - 20mm.

Chain sold separately.","The Dive Coin Charm Pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate yellow gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Coconut Octopus - Inspired by the unique sea creatures, like the octopi, that inhabit Broome’s pearl beds and by Paspaley pearl divers’ tattoos, this design is perfect for the animal lover.

Guided by Stars - The original pearl divers used the stars to navigate the ocean. This design is inspired by Paspaley pearl divers’ tattoos. The skull represents mortality and the spirit of a crew at sea.

    	
		Paspaley Dive Charm Accessory in 18kt Yellow Gold with Mother-of-Pearl and 67 White Diamonds 0.25ct ‘Guided by Stars’ & ‘Octopus’ - 20mm.

Chain sold separately.",In stock,SKU    D21A02Y,"AUD 4,980.00"
dive-hard-hat-coin-charm-small-white-gold,Dive Hard Hat Coin Charm Small - White Gold,"Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 66 White Diamonds 0.26ct ‘Hard Hat’ & ‘1935’ - 20mm.

Chain sold separately.","The Dive Coin Charm Pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate white gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Hard Hat - Catch a glimpse of the magical underwater world of the hard hat diver with this unique design. This heritage piece holds special meaning for anyone connected to the  Australian pearling industry.

Paspaley since 1935 - Paspaley’s version of the nautical star is inspired by Paspaley pearl diver Paddy’s tattoo and so this  design is a nod to our proud pearling heritage.

    	
		Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 66 White Diamonds 0.26ct ‘Hard Hat’ & ‘1935’ - 20mm.

Chain sold separately.",In stock,SKU    D21A06W,"AUD 4,980.00"
dive-layered-charm-necklace-white-gold,Dive Layered Charm Necklace - White Gold,"Paspaley Dive Charm Necklace in 18kt Yellow Gold with a 13mm Oval Paspaley Pearl, a 4mm Keshi Paspaley Pearl, 3 Dive Charm Accessories in 18kt White Gold with Mother-of-Pearl and and 242 White Diamonds (1.0ct).
Small coin charm - 20mm
Large coin charm - 23mm","This versatile charm necklace is inspired by the nautical chains used on our pearling vessels. Carabiner clasps can be opened to add your favourite Paspaley charms and customise the necklace length for different occasions. The white gold chain necklace features two lustrous Paspaley pearls and three mother-of-pearl white gold charms.

    	
		Paspaley Dive Charm Necklace in 18kt Yellow Gold with a 13mm Oval Paspaley Pearl, a 4mm Keshi Paspaley Pearl, 3 Dive Charm Accessories in 18kt White Gold with Mother-of-Pearl and and 242 White Diamonds (1.0ct).
Small coin charm - 20mm
Large coin charm - 23mm",In stock,SKU    DD21N01WPO13,"AUD 27,800.00"
dive-layered-charm-necklace-yellow-gold,Dive Layered Charm Necklace - Yellow Gold,"Paspaley Dive Charm Necklace in 18kt White Gold with a 13mm Oval Paspaley Pearl, a 15mm Baroque Paspaley Pearl, 220 Dive Charm Accessories in 18kt Yellow Gold with Mother-of-Pearl and 207 White Diamonds (0.8ct).
Small coin charm - 20mm
Large coin charm - 23mm","This versatile charm necklace is inspired by the nautical chains used on our pearling vessels. Carabiner clasps can be opened to add your favourite Paspaley charms and customise the necklace length for different occasions. The yellow gold chain necklace features two lustrous Paspaley pearls and three mother-of-pearl gold charms.

    	
		Paspaley Dive Charm Necklace in 18kt White Gold with a 13mm Oval Paspaley Pearl, a 15mm Baroque Paspaley Pearl, 220 Dive Charm Accessories in 18kt Yellow Gold with Mother-of-Pearl and 207 White Diamonds (0.8ct).
Small coin charm - 20mm
Large coin charm - 23mm",In stock,SKU    DD21N01YPO13,"AUD 29,500.00"
dive-long-pearl-necklace-yellow-gold,Dive Long Pearl Necklace - Yellow Gold,"Paspaley Dive Necklace in 18kt Yellow Gold with 5, 12mm Paspaley Pearls, 50 Black Spinels 3.13ct, 80 White Diamonds 0.39ct and Black Silk.","The Tassel Pearl Necklace features five lustrous Paspaley pearls complemented by elegant long tassels, inspired by the frayed and knotted old ropes from retired wooden pearl luggers that lay partly submerged on Town Beach, Broome. Wear long or doubled over with the pearl clasp, to customise your look.

    	
		Paspaley Dive Necklace in 18kt Yellow Gold with 5, 12mm Paspaley Pearls, 50 Black Spinels 3.13ct, 80 White Diamonds 0.39ct and Black Silk.",In stock,SKU    D21N10YPO12,"AUD 24,800.00"
dive-mermaid-coin-charm-small-white-gold,Dive Mermaid Coin Charm Small - White Gold,"Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 69 White Diamonds 0.26ct ‘Mermaid’ & ‘Barramundi’ -  20mm.

Chain sold separately.","The Dive Coin Charm Pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate yellow gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Mermaid - This strong mermaid design represents women connecting with the wild side of nature and themselves.

Barramundi Mandala - A playful and intricate design borrowing elements from our divers’ tattoos and the iconic saltwater barramundi found in the Kimberley. From afar it looks like a flower, but look closely and you will see the fish.

    	
		Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 69 White Diamonds 0.26ct ‘Mermaid’ & ‘Barramundi’ -  20mm.

Chain sold separately.",In stock,SKU    D21A05W,"AUD 4,980.00"
dive-mermaid-coin-charm-small-yellow-gold,Dive Mermaid Coin Charm Small - Yellow Gold,"Paspaley Dive Charm Accessory in 18kt Yellow Gold with Mother-of-Pearl and 69 White Diamonds 0.26ct ‘Mermaid’ & ‘Barramundi' - 20mm.

Chain sold separately.","The Dive Coin Charm Pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate yellow gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Mermaid - This strong mermaid design represents women connecting with the wild side of nature and themselves. It depicts a mermaid fearlessly embracing a shark.

Barramundi Mandala - A playful and intricate design, borrowing elements from our pearl divers’ tattoos and the iconic saltwater barramundi found in the Kimberley. From afar it looks like a flower, but look closely and you will see the fish.

    	
		Paspaley Dive Charm Accessory in 18kt Yellow Gold with Mother-of-Pearl and 69 White Diamonds 0.26ct ‘Mermaid’ & ‘Barramundi' - 20mm.

Chain sold separately.",In stock,SKU    D21A01Y,"AUD 4,980.00"
dive-mermaid-coin-charm-white-gold,Dive Mermaid Coin Charm - White Gold,"Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 64 White Diamonds 0.24ct ‘Mermaid' & 'Seascape' - 23mm.

Chain sold separately.","The Dive Coin Charm Pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate white gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Mermaid - This strong mermaid design represents women connecting with the wild side of nature and themselves. We depict a mermaid fearlessly embracing a shark.

Seascape - The Seascape design is Inspired by the whimsical and fantastical tattoos of some of the Paspaley divers. The moon provides light for the pearl diver who is in search of treasure at sea.

    	
		Paspaley Dive Charm Accessory in 18kt White Gold with Mother-of-Pearl and 64 White Diamonds 0.24ct ‘Mermaid' & 'Seascape' - 23mm.

Chain sold separately.",In stock,SKU    D21A07W,"AUD 5,680.00"
dive-pearl-chain-ring,Dive Pearl Chain Ring,"Paspaley Dive Ring in 18kt Yellow Gold with 1, 9mm Keshi Baroque Paspaley Pearl.","The Dive Pearl Chain ring draws inspiration from the changing colours of the ropes and chains used on our pearling ships.  This pearl ring can be worn on its own, or stacked in a group of two or three with the Dive Chain rings.

    	
		Paspaley Dive Ring in 18kt Yellow Gold with 1, 9mm Keshi Baroque Paspaley Pearl.",In stock,SKU    DD21R20YKQ09,"AUD 1,980.00"
dive-pearl-drop-earrings-yellow-gold,Dive Pearl Drop Earrings - Yellow Gold,"Paspaley Dive Earrings in 18kt Yellow Gold with 2, 12mm Oval/Drop Paspaley Pearls, 20 Black Spinels (0.49ct), 56 White Diamonds (0.13ct) and Black Silk.","These versatile pearl earrings feature a lustrous Paspaley pearl and nautical thimble typically found on our pearling vessels. 100% Japanese silk rope and deep black spinel reference modern pearling and the neoprene wetsuits worn by our pearl divers. A single earring can also be worn as a pendant.

    	
		Paspaley Dive Earrings in 18kt Yellow Gold with 2, 12mm Oval/Drop Paspaley Pearls, 20 Black Spinels (0.49ct), 56 White Diamonds (0.13ct) and Black Silk.",In stock,SKU    DD21A10E02Y,"AUD 9,360.00"
dive-rope-pendant-yellow-gold,Dive Rope Pendant - Yellow Gold,"Paspaley Classic Rope Pendant in 18kt Yellow Gold with 1, 13mm Drop Paspaley Pearl.

Chain sold separately.","This timeless pearl pendant features 13mm drop Paspaley pearl complemented by a nautical bale inspired by the ropes found on a Paspaley pearling ship.

    	
		Paspaley Classic Rope Pendant in 18kt Yellow Gold with 1, 13mm Drop Paspaley Pearl.

Chain sold separately.",In stock,SKU    B20P11YPD13,"AUD 1,980.00"
dive-seascape-coin-charm-yellow-gold,Dive Seascape Coin Charm - Yellow Gold,"Paspaley Dive Charm Accessory in 18kt Yellow Gold with Mother-of-Pearl and 64 White Diamonds 0.24ct ‘Seascape’ & ‘Mermaid’ - 23mm.

Chain sold separately.","The Dive Coin charm pendants represent old Dutch guilders found by pearl divers in shipwrecks along the Kimberley coastline. Each coin charm is framed by a delicate yellow gold rope detail with diamonds and intricately engraved mother-of-pearl. 

Mermaid - This strong mermaid design represents women connecting with the wild side of nature and themselves. We depict a mermaid fearlessly embracing a shark.

Seascape - The Seascape design is Inspired by the whimsical and fantastical tattoos of some of the Paspaley divers. The moon provides light for the pearl diver who is in search of treasure at sea.

    	
		Paspaley Dive Charm Accessory in 18kt Yellow Gold with Mother-of-Pearl and 64 White Diamonds 0.24ct ‘Seascape’ & ‘Mermaid’ - 23mm.

Chain sold separately.",Out of stock,SKU    D21A04Y,"AUD 5,680.00"
dive-shark-charm-white-gold,Dive Shark Charm - White Gold,"Paspaley Dive Charm Accessory in 18kt White Gold with 1, 4mm Keshi Baroque Paspaley Pearl and 32 White Diamonds 0.20ct.","The Dive Shark charm, adorned with a keshi pearl and diamonds is an ode to the gentle nurse sharks that move gracefully through the waters of the Kimberley coastline. This versatile pearl charm can be worn as a single pearl earring with a Paspaley ear clip, or added to a Paspaley Dive charm necklace alongside other Paspaley pearls and charms.

    	
		Paspaley Dive Charm Accessory in 18kt White Gold with 1, 4mm Keshi Baroque Paspaley Pearl and 32 White Diamonds 0.20ct.",In stock,SKU    D21A11WKQ04,"AUD 2,280.00"
dive-tassel-earrings-yellow-gold,Dive Tassel Earrings - Yellow Gold,"Paspaley Dive Earrings in 18kt Yellow Gold with 2, 12mm Semi Round Paspaley Pearls, 54 Black Spinels (3.09ct), 160 White Diamonds (0.52ct) and Black Silk.","The Tassel Pearl Earrings feature lustrous Paspaley pearls complemented by elegant long tassels, inspired by the frayed and knotted old ropes from retired wooden pearl luggers.

    	
		Paspaley Dive Earrings in 18kt Yellow Gold with 2, 12mm Semi Round Paspaley Pearls, 54 Black Spinels (3.09ct), 160 White Diamonds (0.52ct) and Black Silk.",In stock,SKU    DD21A11E02Y,"AUD 20,560.00"
dive-tassel-pendant-yellow-gold,Dive Tassel Pendant - Yellow Gold,"Paspaley Dive Pendant in 18kt Yellow Gold with 1, 14mm Semi Round Paspaley Pearl, 27 Black Spinels 1.56ct, 80 White Diamonds 0.26ct and Black Silk. 

Chain sold separately.","The Tassel Pearl Pendant features a 14mm semi-round Paspaley pearl, elegantly complemented by a tassel of gold, inspired by the frayed and knotted ropes from the remains of retired wooden pearl luggers that lay partly submerged on Town Beach, Broome.

    	
		Paspaley Dive Pendant in 18kt Yellow Gold with 1, 14mm Semi Round Paspaley Pearl, 27 Black Spinels 1.56ct, 80 White Diamonds 0.26ct and Black Silk. 

Chain sold separately.",In stock,SKU    D21P11YPS14,"AUD 9,680.00"
dive-thimble-pendant-yellow-gold,Dive Thimble Pendant - Yellow Gold,"Paspaley Dive Pendant in 18kt Yellow Gold with 1, 13mm Oval/Drop Paspaley Pearl, 10 Black Spinels 0.26ct, 28 White Diamonds 0.06ct and Black Silk. 

Chain and silk rope sold separately.","This easy to wear pearl pendant features a lustrous drop pearl and nautical thimble typically found on our pearling vessels. 100% Japanese silk rope and deep black spinel reference modern pearling and the neoprene wetsuits worn by our pearl divers.

    	
		Paspaley Dive Pendant in 18kt Yellow Gold with 1, 13mm Oval/Drop Paspaley Pearl, 10 Black Spinels 0.26ct, 28 White Diamonds 0.06ct and Black Silk. 

Chain and silk rope sold separately.",In stock,SKU    D21P10YPD13,"AUD 3,880.00"
entwined-diamond-pendant-yellow-gold,Entwined Diamond Pendant - Yellow Gold,"Paspaley Pendant in 18kt Yellow Gold with 1, 16mm Drop Paspaley Pearl and 209 White Diamonds 1.10ct.

Each Entwined Pendant features a hand-selected Paspaley pearl, which may differ slightly from the online images.","The sinuous fluidity of the Entwined Diamond Pendant reflects the movement of the ropes that our divers use on our pearling ships. Adorned with a hand-selected 16mm drop pearl and pavé diamonds set in yellow gold, this Paspaley diamond pendant can be worn on a silk or gold chain.

    	
		Paspaley Pendant in 18kt Yellow Gold with 1, 16mm Drop Paspaley Pearl and 209 White Diamonds 1.10ct.

Each Entwined Pendant features a hand-selected Paspaley pearl, which may differ slightly from the online images.",Out of stock,SKU    D21P44Y008,"AUD 18,800.00"
entwined-pendant-yellow-gold,Entwined Pendant - Yellow Gold,"Paspaley Pendant in 18kt Yellow Gold with 1, 16mm Oval Paspaley Pearl and 10 White Diamonds 0.11ct.

Each Entwined Pendant features a hand-selected Paspaley pearl, which may differ slightly from the online images.","The sinuous fluidity of the Entwined pearl pendant reflects the movement of the ropes that our divers use on our pearling ships. Adorned with a hand-selected 16mm drop pearl and set in yellow gold with white diamonds, this Paspaley pearl pendant can be worn on a silk or gold chain.

    	
		Paspaley Pendant in 18kt Yellow Gold with 1, 16mm Oval Paspaley Pearl and 10 White Diamonds 0.11ct.

Each Entwined Pendant features a hand-selected Paspaley pearl, which may differ slightly from the online images.",Out of stock,SKU    D21P43Y002,"AUD 9,280.00"
gold-keshi-rhapsody-category-7-,Gold Keshi Rhapsody,"Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.","Each Rhapsody strand is one-of-a-kind. These fluid strands feature a myriad of beautiful pearl shapes and sizes. Each can be playfully detached into bracelets and smaller necklaces.

    	
		Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SUKQ0609005,"AUD 82,800.00"
https:--www.paspaley.com-catalog-product-view-id-2978-s-maxima-snake-ring-yellow-gold-category-38-,Maxima Snake Ring - Yellow Gold,"Paspaley ring featuring one, 11mm round pearl set in 18kt yellow gold, with mother-of-pearl and 57 white diamonds (0.60ct).","This ring delicately wraps around the finger, highlighting the pearl against the striking white mother-of-pearl.

    	
		Paspaley ring featuring one, 11mm round pearl set in 18kt yellow gold, with mother-of-pearl and 57 white diamonds (0.60ct).",In stock,SKU    DW17R02YPR11,"AUD 7,880.00"
paspaley-dive-charm-necklace,Paspaley Dive Charm Necklace,"Paspaley Dive Charm Necklace in 18kt Yellow Gold with 1, 13mm Oval Paspaley Pearl and 6 White Diamonds 0.02ct. Chain length 47cm.

Charms sold separately.","This versatile charm necklace is inspired by the nautical chains used on our pearling vessels. Carabiner clasps can be opened to add your favourite Paspaley charms and customise the necklace length for different occasions. The yellow gold chain necklace features a 13mm oval Paspaley pearl with a diamond cap.

    	
		Paspaley Dive Charm Necklace in 18kt Yellow Gold with 1, 13mm Oval Paspaley Pearl and 6 White Diamonds 0.02ct. Chain length 47cm.

Charms sold separately.",In stock,SKU    D21N01YPO13,"AUD 9,880.00"
pearl-accessories-adjustable-trace-chain--white-gold,Adjustable Trace Chain -White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.3mm.","This fine white gold chain features a mirror-like finish, elegant diamond clasp and adjustable length up to 50cm.

    	
		Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.3mm.",In stock,SKU    C19C00W1350A,AUD 860.00
pearl-accessories-adjustable-trace-chain-rose-gold,Adjustable Trace Chain - Rose Gold,"Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), width 1.3mm.","This fine rose gold chain features a mirror-like finish, elegant diamond clasp and adjustable length up to 50cm.

    	
		Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), width 1.3mm.",In stock,SKU    C19C00R1350A,AUD 860.00
pearl-accessories-adjustable-trace-chain-yellow-gold,Adjustable Trace Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.3mm.","This fine yellow gold chain features a mirror-like finish, elegant diamond clasp and adjustable length up to 50cm.

    	
		Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.3mm.",In stock,SKU    C19C00Y1350A,AUD 860.00
pearl-accessories-black-spinel-cascade-white-gold,Black Spinel Cascade - White Gold,"Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.","This necklace features 12 black spinel strands, woven together to create this unique black necklace. Wear with your favourite Paspaley pearl clasp.

    	
		Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.",In stock,SKU    C00N10W43,"AUD 4,980.00"
